DateTime,FirstName,LastName,PhoneNumber,Email,Sex,Water,Meals,Wheat,Sugar,Dairy,Miles,Weight
08/05/2022 21:16:03,,,,,null,15,3,false,false,false,Less than 1 Mile,null
08/05/2022 21:16:03,,,,,null,15,3,false,false,false,Less than 1 Mile,null
08/05/2022 21:16:03,,,,,null,15,3,false,false,false,Less than 1 Mile,null
DateTime,FirstName,LastName,PhoneNumber,Email,Sex,Water,Meals,Wheat,Sugar,Dairy,Miles,Weight
DateTime,FirstName,LastName,PhoneNumber,Email,Sex,Water,Meals,Wheat,Sugar,Dairy,Miles,Weight
DateTime,FirstName,LastName,PhoneNumber,Email,Sex,Water,Meals,Wheat,Sugar,Dairy,Miles,Weight
DateTime,FirstName,LastName,PhoneNumber,Email,Sex,Water,Meals,Wheat,Sugar,Dairy,Miles,Weight
DateTime,FirstName,LastName,PhoneNumber,Email,Sex,Water,Meals,Wheat,Sugar,Dairy,Miles,Weight
11/15/2022 16:29:52,tthjjjjt,,ttyuh,,null,15,3,false,false,false,Less than 1 Mile,null
